char_ar,char_en,char1_ar,char2_ar,char3_ar,char1_en,char2_en,char3_en,plate_no,price
ق ه ه,H H G,ق,ه,ه,G,H,H,50,26500
ق م ر,R Z G,ق,م,ر,G,Z,R,975,20000
ك م ا,A Z K,ك,م,ا,K,Z,A,30,50000
و ط ط,T T U,و,ط,ط,U,T,T,979,6000
ا ط م,Z T A,ا,ط,م,A,T,Z,18,25000
ب ب ى,V B B,ب,ب,ى,B,B,V,1,7000000
د م ط,T Z D,د,م,ط,D,Z,T,507,13000
ب ط ح,J T B,ب,ط,ح,B,T,J,511,17000
ى ب م,Z B V,ى,ب,م,V,B,Z,88,17000
ح و ب,B U J,ح,و,ب,J,U,B,1117,12000
ن ا ن,N A N,ن,ا,ن,N,A,N,343,15000
ر ا ع,E A R,ر,ا,ع,R,A,E,2222,35000
م ر ص,X R Z,م,ر,ص,Z,R,X,63,18000
ا ح ب,B J A,ا,ح,ب,A,J,B,39,50000
ب و ى,V U B,ب,و,ى,B,U,V,8100,4000
ر ن و,U N R,ر,ن,و,R,N,U,1,500000
ط ل ه,H L T,ط,ل,ه,T,L,H,50,50000
ح و ر,R U J,ح,و,ر,J,U,R,7617,12000
ر م س,S Z R,ر,م,س,R,Z,S,502,10000
ل ل ر,R L L,ل,ل,ر,L,L,R,999,24000
م ل ك,K L Z,م,ل,ك,Z,L,K,255,35000
س ن د,D N S,س,ن,د,S,N,D,312,35000
س ل د,D L S,س,ل,د,S,L,D,5,35000
س ع د,D E S,س,ع,د,S,E,D,500,7000
ك ى ن,N V K,ك,ى,ن,K,V,N,90,28000
د ل ع,E L D,د,ل,ع,D,L,E,320,14500
ع ع ع,E E E,ع,ع,ع,E,E,E,602,45000
س ر ص,X R S,س,ر,ص,S,R,X,5,55000
ح ل و,U L J,ح,ل,و,J,L,U,4950,19000
و د ه,H D U,و,د,ه,U,D,H,510,5000
ط ه س,S H T,ط,ه,س,T,H,S,888,40000
د ر ى,V R D,د,ر,ى,D,R,V,6146,2500
