char_ar,char_en,char1_ar,char2_ar,char3_ar,char1_en,char2_en,char3_en,plate_no,price
هـ ل ط,T L H,هـ,ل,ط,H,L,T,22,22500
ن هـ ب,B H N,ن,هـ,ب,N,H,B,57,36000
ح أ ط,T A J,ح,أ,ط,J,A,T,7,33000
و ح أ,A J U,و,ح,أ,U,J,A,17,15000
و ح أ,A J U,و,ح,أ,U,J,A,12,15000
د ص ن,N X D,د,ص,ن,D,X,N,7,25000
ى د د,D D V,ى,د,د,V,D,D,49,11900
ع م ن,N Z E,ع,م,ن,E,Z,N,869,4500
هـ ى ط,T V H,هـ,ى,ط,H,V,T,622,6500
ر ع ب,B E R,ر,ع,ب,R,E,B,9293,9000
م ب أ,A B Z,م,ب,أ,Z,B,A,841,5500
ر ن أ,A N R,ر,ن,أ,R,N,A,5657,5000
ح ل و,U L J,ح,ل,و,J,L,U,7797,8500
هـ م ص,X Z H,هـ,م,ص,H,Z,X,4,68000
ل ب ى,V B L,ل,ب,ى,L,B,V,77,100000
و م ق,G Z U,و,م,ق,U,Z,G,909,13000
ع ر ل,L R E,ع,ر,ل,E,R,L,1,350000
ر ع ى,V E R,ر,ع,ى,R,E,V,5600,1500
أ س د,D S A,أ,س,د,A,S,D,998,100000
ع س س,S S E,ع,س,س,E,S,S,2,125000
ق ص ر,R X G,ق,ص,ر,G,X,R,702,25000
ل ى ن,N V L,ل,ى,ن,L,V,N,772,16000
ع ل أ,A L E,ع,ل,أ,E,L,A,555,60000
ب م ط,T Z B,ب,م,ط,B,Z,T,777,21000
ل ن ر,R N L,ل,ن,ر,L,N,R,305,12000
